EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_IMMIGRATION_CATEGORY-MAIN_CATEGORY	FR_CATÉGORIE_D'IMMIGRATION-CATÉGORIE_PRINCIPALE	EN_IMMIGRATION_CATEGORY-GROUP	FR_CATÉGORIE_D'IMMIGRATION-GROUPE	EN_IMMIGRATION_CATEGORY-COMPONENT	FR_CATÉGORIE_D'IMMIGRATION-COMPOSANTE	TOTAL
2015	Q1	Feb	2015	T1	fév.	British Columbia	Colombie-Britannique	Sponsored Family	Famille parrainée	Sponsored Family	Famille parrainée	Sponsored Parent or Grandparent	Parents ou grands-parents parrainés	185
2015	Q1	Feb	2015	T1	fév.	British Columbia	Colombie-Britannique	Sponsored Family	Famille parrainée	Sponsored Family	Famille parrainée	Sponsored Spouse or Partner	Époux ou conjoints de fait parrainés	560
2015	Q1	Feb	2015	T1	fév.	Manitoba	Manitoba	Economic	Économique	Provincial Nominee Program	Candidats des provinces ou des territoires	Provincial Nominee Program	Candidats des provinces ou des territoires	570
2015	Q1	Feb	2015	T1	fév.	Manitoba	Manitoba	Economic	Économique	Worker Program	Programme des travailleurs	Canadian Experience	Catégorie de l’expérience canadienne	--
2015	Q1	Feb	2015	T1	fév.	Manitoba	Manitoba	Economic	Économique	Worker Program	Programme des travailleurs	Caregiver	Aides familiaux	15
2015	Q1	Feb	2015	T1	fév.	Manitoba	Manitoba	Economic	Économique	Worker Program	Programme des travailleurs	Skilled Worker	Travailleurs qualifiés	25
2015	Q1	Feb	2015	T1	fév.	Manitoba	Manitoba	Resettled Refugee & Protected Person in Canada	Réfugiés réinstallés et personnes protégées au Canada	Protected Person in Canada	Personnes protégées au Canada	Dependant of protected person	Personnes à charge d'une personne protégée	--
2015	Q1	Feb	2015	T1	fév.	Manitoba	Manitoba	Resettled Refugee & Protected Person in Canada	Réfugiés réinstallés et personnes protégées au Canada	Protected Person in Canada	Personnes protégées au Canada	Protected Person	Personnes protégées	--
2015	Q1	Feb	2015	T1	fév.	Manitoba	Manitoba	Resettled Refugee & Protected Person in Canada	Réfugiés réinstallés et personnes protégées au Canada	Resettled Refugee	Réfugiés réinstallés	Government-Assisted Refugee	Réfugiés pris en charge par le gouvernement	70
2015	Q1	Feb	2015	T1	fév.	Manitoba	Manitoba	Resettled Refugee & Protected Person in Canada	Réfugiés réinstallés et personnes protégées au Canada	Resettled Refugee	Réfugiés réinstallés	Privately Sponsored Refugee	Réfugiés parrainés par le secteur privé	90
2015	Q1	Feb	2015	T1	fév.	Manitoba	Manitoba	Sponsored Family	Famille parrainée	Sponsored Family	Famille parrainée	Sponsored Children	Enfants parrainés	15
2015	Q1	Feb	2015	T1	fév.	Manitoba	Manitoba	Sponsored Family	Famille parrainée	Sponsored Family	Famille parrainée	Sponsored Parent or Grandparent	Parents ou grands-parents parrainés	20
2015	Q1	Feb	2015	T1	fév.	Manitoba	Manitoba	Sponsored Family	Famille parrainée	Sponsored Family	Famille parrainée	Sponsored Spouse or Partner	Époux ou conjoints de fait parrainés	115
2015	Q1	Feb	2015	T1	fév.	New Brunswick	Nouveau-Brunswick	Economic	Économique	Provincial Nominee Program	Candidats des provinces ou des territoires	Provincial Nominee Program	Candidats des provinces ou des territoires	160
2015	Q1	Feb	2015	T1	fév.	New Brunswick	Nouveau-Brunswick	Economic	Économique	Worker Program	Programme des travailleurs	Canadian Experience	Catégorie de l’expérience canadienne	5
2015	Q1	Feb	2015	T1	fév.	New Brunswick	Nouveau-Brunswick	Economic	Économique	Worker Program	Programme des travailleurs	Caregiver	Aides familiaux	10
2015	Q1	Feb	2015	T1	fév.	New Brunswick	Nouveau-Brunswick	Economic	Économique	Worker Program	Programme des travailleurs	Skilled Worker	Travailleurs qualifiés	--
2015	Q1	Feb	2015	T1	fév.	New Brunswick	Nouveau-Brunswick	Resettled Refugee & Protected Person in Canada	Réfugiés réinstallés et personnes protégées au Canada	Protected Person in Canada	Personnes protégées au Canada	Protected Person	Personnes protégées	--
2015	Q1	Feb	2015	T1	fév.	New Brunswick	Nouveau-Brunswick	Resettled Refugee & Protected Person in Canada	Réfugiés réinstallés et personnes protégées au Canada	Resettled Refugee	Réfugiés réinstallés	Government-Assisted Refugee	Réfugiés pris en charge par le gouvernement	35
2015	Q1	Feb	2015	T1	fév.	New Brunswick	Nouveau-Brunswick	Sponsored Family	Famille parrainée	Sponsored Family	Famille parrainée	Sponsored Parent or Grandparent	Parents ou grands-parents parrainés	--
2015	Q1	Feb	2015	T1	fév.	New Brunswick	Nouveau-Brunswick	Sponsored Family	Famille parrainée	Sponsored Family	Famille parrainée	Sponsored Spouse or Partner	Époux ou conjoints de fait parrainés	15
2015	Q1	Feb	2015	T1	fév.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Economic	Économique	Provincial Nominee Program	Candidats des provinces ou des territoires	Provincial Nominee Program	Candidats des provinces ou des territoires	35
2015	Q1	Feb	2015	T1	fév.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Economic	Économique	Worker Program	Programme des travailleurs	Caregiver	Aides familiaux	--
2015	Q1	Feb	2015	T1	fév.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Economic	Économique	Worker Program	Programme des travailleurs	Skilled Worker	Travailleurs qualifiés	15
2015	Q1	Feb	2015	T1	fév.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Resettled Refugee & Protected Person in Canada	Réfugiés réinstallés et personnes protégées au Canada	Protected Person in Canada	Personnes protégées au Canada	Protected Person	Personnes protégées	--
2015	Q1	Feb	2015	T1	fév.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Resettled Refugee & Protected Person in Canada	Réfugiés réinstallés et personnes protégées au Canada	Resettled Refugee	Réfugiés réinstallés	Government-Assisted Refugee	Réfugiés pris en charge par le gouvernement	15
